,users
0,PGarciaRuminot 
1,albertoespina
2,enavonbaer
3,HernanLarrainF
4,felipeharboe
5,iallendebussi
6,guidogirardi
7,lagosweber
8,senadornavarro
9,Antoniohorvath
10,prensaJPizarro
11,andreszaldivarl
12,lilyperez
13,ignaciowalker
14,patriciowalker
15,PrensaFidel
16,DiputadoSabag
17,aguilo_sergio
18,jennyalvarezv
19,OsvaldoAndradeL
20,claudioarriagad
21,pepe_auth
22,memobarros
23,gbeckera
24,jbellolio
25,gabrielboric
26,Claudio_Lohse
27,DiputadoCampos
28,Karolcariola
29,lautarocarmona
30,loretodiputada
31,DoctorJLCastro
32,fchahin
33,prensamchavez
34,Dani_Cicardini
35,DamianCanuto
36,DiputadoCornejo
37,felipekast
38,RojoEdwards
39,SergioEspejo
40,dipu_mespinosa
41,PrensaFidel
42,dfarcas
43,RamonFarias
44,ifloresdiputado
45,ifuentes_aysen
46,FuenzalidaDip
47,sergiogahona
48,GarciaDiputado
49,cgirardidiputad
50,rodgonzalezl
51,Hugo_Gutierrez_
52,RomilioDiputado
53,gustavohasbun
54,FachaDiputado
55,MarcelaHernando
56,Lubertino
57,Romero_Diputado
58,GiorgioJackson
59,Oficinajarpa
60,tucapeljimenez
61,joseantoniokast
62,felipekast
63,issakortg
64,100xcientolocal
65,diputadoleon
66,FelipeDiputado
67,pabloIorenzini
68,javiermacaya
69,MeleroDiputado
70,PrensaDaniMelo
71,Diputadofmeza
72,vladomirosevic
73,AndreaMolinaT
74,cmonckeberg
75,nmonckeberg
76,InfoDipMonsalve
77,CelsoDiputado
78,comandodiputado
79,NunezSenador
80,diputadoOjeda
81,OrtizDiputado
82,denisediputada
83,diegopaulsen
84,JoseAngelRicard
85,perezlahsen
86,DiputadoPoblete
87,ProvosteYasna
88,JorgeRathgeb
89,RicardoRincon1
90,RIVASDIPUTADO
91,Rocafuldiputado
92,DiputadoSabag
93,MarceSabat
94,renesaffirio
95,diputadoelqui
96,diputadosantana
97,gabrielsilber
98,ErnestoSilvaM
99,LeoSotoChile
100,arturosquella
101,JorgeTarud
102,gteillier
103,DocVictorTorres
104,RenzoTrisotti
105,MarisolTurres
106,RomiCart
107,DiputadoUrrutia
108,urrutiaosvaldo
109,camila_vallejo
110,pvallespin
111,DiputadoVenegas
112,matiaswalkerp
113,Felipeward
